Acclaimed Contender,W,R,507,1.52,204,1.46,958,57.20%,145,,191,,335,59.10%,441,56.70%,2.4pp
,,,,,,,,,,,,,,,,,
All That Glitters,W,U,4349,4.73,675,5.91,1846,51.70%,355,53.50%,535,49.20%,873,51.30%,759,52.00%,-0.7pp
,,,,,,,,,,,,,,,,,
Archon of Absolution,W,U,1889,2.22,618,2.5,2851,55.40%,421,58.00%,652,58.00%,1051,58.20%,1310,52.80%,5.4pp
,,,,,,,,,,,,,,,,,
Ardenvale Paladin,W,C,13952,6.42,1711,8.72,3669,52.70%,707,51.90%,1046,51.10%,1698,51.70%,1607,53.40%,-1.7pp
,,,,,,,,,,,,,,,,,
Ardenvale Tactician,W,C,5735,2.48,1299,3.01,5296,55.10%,1026,55.10%,1501,57.20%,2464,56.30%,2251,54.50%,1.8pp
,,,,,,,,,,,,,,,,,
Bartered Cow,W,C,14646,8.94,1984,12.14,422,,84,,141,,224,47.30%,197,,
,,,,,,,,,,,,,,,,,
Beloved Princess,W,C,14635,8.1,2050,10.75,1952,51.70%,459,54.50%,560,48.00%,969,51.00%,865,51.60%,-0.6pp
,,,,,,,,,,,,,,,,,
Charming Prince,W,R,517,1.72,177,1.81,766,,123,,148,,268,55.60%,377,54.60%,1.0pp
,,,,,,,,,,,,,,,,,
The Circle of Loyalty,W,M,124,1,85,1,406,,61,,84,,145,,207,49.30%,
,,,,,,,,,,,,,,,,,
Deafening Silence,W,U,5481,10.3,1364,12.55,53,,6,,9,,15,,33,,
,,,,,,,,,,,,,,,,,
Faerie Guidemother,W,C,11402,4.37,2077,5.69,6887,55.40%,1560,55.90%,2088,57.10%,3574,56.70%,2697,55.40%,1.4pp
,,,,,,,,,,,,,,,,,
Flutterfox,W,C,13290,5.59,2798,6.74,6843,54.20%,1700,58.10%,2429,54.30%,3904,55.70%,2510,51.70%,4.1pp
,,,,,,,,,,,,,,,,,
Fortifying Provisions,W,C,14114,9,2230,11.75,1325,47.80%,227,45.40%,360,40.00%,578,42.60%,604,51.30%,-8.8pp
,,,,,,,,,,,,,,,,,
Giant Killer,W,R,286,1,162,1,769,,103,,201,59.20%,302,59.30%,367,52.30%,7.0pp
,,,,,,,,,,,,,,,,,
Glass Casket,W,U,2529,2.62,743,2.96,3445,55.80%,601,56.20%,745,57.00%,1336,56.70%,1540,55.20%,1.5pp
,,,,,,,,,,,,,,,,,
Happily Ever After,W,R,891,2.45,80,3.08,4,,1,,1,,2,,1,,
,,,,,,,,,,,,,,,,,
Harmonious Archon,W,M,156,1,120,1,569,,78,,108,,186,,296,51.70%,
,,,,,,,,,,,,,,,,,
Hushbringer,W,R,529,1.63,113,1.64,373,,38,,67,,104,,153,,
,,,,,,,,,,,,,,,,,
Knight of the Keep,W,C,14622,8.99,3002,11.13,3931,53.70%,742,50.30%,1110,51.50%,1772,50.60%,1638,55.60%,-5.1pp
,,,,,,,,,,,,,,,,,
"Linden, the Steadfast Queen",W,R,535,1.72,174,1.62,635,,77,,123,,199,,263,51.30%,
,,,,,,,,,,,,,,,,,
Lonesome Unicorn,W,C,13384,5.77,2119,7.49,5903,54.20%,1176,57.00%,1783,53.80%,2844,55.10%,2465,53.20%,1.9pp
,,,,,,,,,,,,,,,,,
Mysterious Pathlighter,W,U,2744,2.95,762,3.45,3053,55.00%,558,59.30%,783,56.10%,1302,57.70%,1348,54.50%,3.2pp
,,,,,,,,,,,,,,,,,
Outflank,W,C,13746,6.51,2268,8.39,6326,54.20%,1171,53.90%,1744,52.10%,2821,52.60%,2622,56.30%,-3.7pp
,,,,,,,,,,,,,,,,,
Prized Griffin,W,C,13366,5.82,1407,8.19,3755,53.90%,569,59.10%,993,51.80%,1511,54.90%,1687,53.30%,1.6pp
,,,,,,,,,,,,,,,,,
Rally for the Throne,W,U,5241,6.39,819,8.46,1737,53.70%,282,51.10%,379,57.80%,652,54.90%,798,53.50%,1.4pp
,,,,,,,,,,,,,,,,,
Realm-Cloaked Giant,W,M,137,1,99,1,433,,60,,102,,160,,198,,
,,,,,,,,,,,,,,,,,
Righteousness,W,U,5344,7.08,664,9.6,800,49.90%,119,,168,,274,50.00%,355,50.10%,-0.1pp
,,,,,,,,,,,,,,,,,
Shepherd of the Flock,W,U,4236,4.25,975,5.25,3786,53.80%,659,54.90%,854,51.40%,1490,53.20%,1673,54.60%,-1.5pp
,,,,,,,,,,,,,,,,,
Shining Armor,W,C,14558,8.3,2224,10.85,2666,50.30%,494,46.20%,656,44.70%,1129,45.30%,1182,53.70%,-8.5pp
,,,,,,,,,,,,,,,,,
Silverflame Ritual,W,C,14534,8.28,2826,10.21,5164,54.40%,845,52.40%,1277,51.60%,2059,51.90%,2220,56.20%,-4.3pp
,,,,,,,,,,,,,,,,,
Silverflame Squire,W,C,12535,5.17,2080,6.89,6507,54.50%,1414,52.40%,1900,52.60%,3143,52.60%,2654,56.40%,-3.8pp
,,,,,,,,,,,,,,,,,
"Syr Alin, the Lion's Claw",W,U,1780,2.1,577,2.32,2712,53.90%,349,53.30%,670,53.00%,999,53.60%,1332,53.20%,0.3pp
,,,,,,,,,,,,,,,,,
Trapped in the Tower,W,C,7187,2.96,1334,3.84,5464,54.70%,1006,53.00%,1380,57.90%,2346,55.90%,2328,53.90%,2.0pp
,,,,,,,,,,,,,,,,,
True Love's Kiss,W,C,14440,8.36,1796,11.39,1327,53.10%,174,,302,54.30%,474,52.50%,661,53.60%,-1.0pp
,,,,,,,,,,,,,,,,,
Venerable Knight,W,U,3247,3.42,527,4.54,2256,54.00%,408,58.30%,545,52.80%,931,55.30%,956,52.40%,2.9pp
,,,,,,,,,,,,,,,,,
Worthy Knight,W,R,397,1.33,218,1.31,972,54.70%,160,,195,,351,55.60%,475,53.10%,2.5pp
,,,,,,,,,,,,,,,,,
Youthful Knight,W,C,12505,5.06,2412,6.3,7294,53.90%,1731,55.10%,2395,49.60%,3847,52.40%,2639,54.70%,-2.3pp
,,,,,,,,,,,,,,,,,
Animating Faerie,U,U,2051,2.36,311,2.87,1308,52.10%,198,,416,57.50%,604,57.00%,495,46.50%,10.5pp
,,,,,,,,,,,,,,,,,
Brazen Borrower,U,M,161,1,100,1,356,,50,,92,,141,,137,,
,,,,,,,,,,,,,,,,,
Charmed Sleep,U,C,5782,2.43,705,3.11,2740,51.30%,480,50.80%,987,59.00%,1450,56.30%,956,44.90%,11.5pp
,,,,,,,,,,,,,,,,,
Corridor Monitor,U,C,14386,7.97,1980,10.33,3341,50.80%,671,49.60%,1363,56.60%,1965,54.10%,1081,46.30%,7.9pp
,,,,,,,,,,,,,,,,,
Didn't Say Please,U,C,10976,4.27,1053,5.8,3237,52.70%,598,55.50%,1385,59.90%,1935,58.80%,1042,44.70%,14.0pp
,,,,,,,,,,,,,,,,,
"Emry, Lurker of the Loch",U,R,461,1.57,142,1.48,440,,67,,114,,179,,180,,
,,,,,,,,,,,,,,,,,
Fae of Wishes,U,R,491,1.63,173,1.65,648,,73,,113,,181,,261,49.80%,
,,,,,,,,,,,,,,,,,
Faerie Vandal,U,U,2277,2.46,431,2.98,1836,54.10%,313,57.80%,690,59.10%,969,58.00%,636,48.10%,9.9pp
,,,,,,,,,,,,,,,,,
Folio of Fancies,U,R,496,1.54,140,1.49,518,,79,,151,,230,49.60%,190,,
,,,,,,,,,,,,,,,,,
